Recovery Reconciliation Logs - 2026-04-15T14:33:43.917Z
Mode: LIVE

[SUCCESS] CC: 4594 | Receivable: 12975 | DB Total: 12975 | Match: (EXACT MATCH)
[SUCCESS] CC: 7352 | Receivable: 17975 | DB Total: 17975 | Match: (EXACT MATCH)
[SUCCESS] CC: 7378 | Receivable: 15975 | DB Total: 15975 | Match: (EXACT MATCH)
[MISMATCH] CC: 7192 | Receivable: 32500 | DB Sum: 7500 | Diff: 25000
[SUCCESS] CC: 7199 | Receivable: 7500 | DB Total: 7500 | Match: (EXACT MATCH)
[SUCCESS] CC: 7204 | Receivable: 8000 | DB Total: 8000 | Match: (EXACT MATCH)
[MISMATCH] CC: 7213 | Receivable: 37000 | DB Sum: 12000 | Diff: 25000
[MISMATCH] CC: 7240 | Receivable: 42500 | DB Sum: 17500 | Diff: 25000
[SUCCESS] CC: 7261 | Receivable: 21250 | DB Total: 21250 | Match: (EXACT MATCH)
[SUCCESS] CC: 7331 | Receivable: 8750 | DB Total: 8750 | Match: (EXACT MATCH)
[SUCCESS] CC: 7397 | Receivable: 5000 | DB Total: 5000 | Match: (EXACT MATCH)
[SUCCESS] CC: 7413 | Receivable: 15575 | DB Total: 15575 | Match: (EXACT MATCH)
[MISMATCH] CC: 7410 | Receivable: 41250 | DB Sum: 16250 | Diff: 25000
[SUCCESS] CC: 7380 | Receivable: 22500 | DB Total: 22500 | Match: (EXACT MATCH)
[MISMATCH] CC: 7396 | Receivable: 41250 | DB Sum: 16250 | Diff: 25000
[MISMATCH] CC: 7409 | Receivable: 36250 | DB Sum: 11250 | Diff: 25000
[SUCCESS] CC: 7429 | Receivable: 22500 | DB Total: 22500 | Match: (EXACT MATCH)
[MISSING] CC: 7452 | Receivable: 27500 | Reason: No fees found for 2026-04-01 or earlier.
[SUCCESS] CC: 7474 | Receivable: 10000 | DB Total: 10000 | Match: (EXACT MATCH)
[MISMATCH] CC: 7495 | Receivable: 30000 | DB Sum: 5000 | Diff: 25000
[SUCCESS] CC: 7492 | Receivable: 16250 | DB Total: 16250 | Match: (EXACT MATCH)
[SUCCESS] CC: 7489 | Receivable: 22500 | DB Total: 22500 | Match: (EXACT MATCH)
[SUCCESS] CC: 7512 | Receivable: 11250 | DB Total: 11250 | Match: (EXACT MATCH)
[MISMATCH] CC: 7501 | Receivable: 32500 | DB Sum: 7500 | Diff: 25000
[SUCCESS] CC: 7523 | Receivable: 5000 | DB Total: 5000 | Match: (EXACT MATCH)
[SUCCESS] CC: 7528 | Receivable: 7500 | DB Total: 7500 | Match: (EXACT MATCH)
[SUCCESS] CC: 7518 | Receivable: 25000 | DB Total: 25000 | Match: (EXACT MATCH)
[MISSING] CC: 7525 | Receivable: 11250 | Reason: No fees found for 2026-04-01 or earlier.
[MISMATCH] CC: 7554 | Receivable: 35000 | DB Sum: 5000 | Diff: 30000
[MISMATCH] CC: 7560 | Receivable: 45000 | DB Sum: 20000 | Diff: 25000
[MISMATCH] CC: 7737 | Receivable: 22500 | DB Sum: 27500 | Diff: -5000
[SUCCESS] CC: 7515 | Receivable: 27500 | DB Total: 27500 | Match: (EXACT MATCH)
[SUCCESS] CC: 7543 | Receivable: 14575 | DB Total: 14575 | Match: (EXACT MATCH)
[MISSING] CC: 7572 | Receivable: 14575 | Reason: No fees found for 2026-04-01 or earlier.
[SUCCESS] CC: 7640 | Receivable: 16575 | DB Total: 16575 | Match: (EXACT MATCH)
[SUCCESS] CC: 7654 | Receivable: 14575 | DB Total: 14575 | Match: (EXACT MATCH)
[SUCCESS] CC: 7666 | Receivable: 16575 | DB Total: 16575 | Match: (EXACT MATCH)
[SUCCESS] CC: 7673 | Receivable: 16575 | DB Total: 16575 | Match: (EXACT MATCH)
[SUCCESS] CC: 7598 | Receivable: 14575 | DB Total: 14575 | Match: (EXACT MATCH)
[MISSING] CC: 7720 | Receivable: 18575 | Reason: No fees found for 2026-04-01 or earlier.
[MISSING] CC: 7731 | Receivable: 17975 | Reason: No fees found for 2026-04-01 or earlier.
[SUCCESS] CC: 7686 | Receivable: 16575 | DB Total: 16575 | Match: (EXACT MATCH)
[SUCCESS] CC: 4223 | Receivable: 19975 | DB Total: 19975 | Match: (EXACT MATCH)
[SUCCESS] CC: 4224 | Receivable: 19975 | DB Total: 19975 | Match: (EXACT MATCH)
[SUCCESS] CC: 4258 | Receivable: 17975 | DB Total: 17975 | Match: (EXACT MATCH)
[SUCCESS] CC: 4267 | Receivable: 18975 | DB Total: 18975 | Match: (EXACT MATCH)
[SUCCESS] CC: 4279 | Receivable: 18975 | DB Total: 18975 | Match: (EXACT MATCH)
[SUCCESS] CC: 4284 | Receivable: 18975 | DB Total: 18975 | Match: (EXACT MATCH)
[MISMATCH] CC: 4300 | Receivable: 0 | DB Sum: 19575 | Diff: -19575
[SUCCESS] CC: 4350 | Receivable: 19975 | DB Total: 19975 | Match: (EXACT MATCH)
[SUCCESS] CC: 4388 | Receivable: 19975 | DB Total: 19975 | Match: (EXACT MATCH)
[SUCCESS] CC: 4398 | Receivable: 18975 | DB Total: 18975 | Match: (EXACT MATCH)
[SUCCESS] CC: 4847 | Receivable: 18975 | DB Total: 18975 | Match: (EXACT MATCH)
[MISSING] CC: 4934 | Receivable: 19975 | Reason: No fees found for 2026-04-01 or earlier.
[SUCCESS] CC: 5016 | Receivable: 19975 | DB Total: 19975 | Match: (EXACT MATCH)
[SUCCESS] CC: 5130 | Receivable: 18975 | DB Total: 18975 | Match: (EXACT MATCH)
[SUCCESS] CC: 5134 | Receivable: 17975 | DB Total: 17975 | Match: (EXACT MATCH)
[SUCCESS] CC: 5305 | Receivable: 19975 | DB Total: 19975 | Match: (EXACT MATCH)
[SUCCESS] CC: 5400 | Receivable: 18975 | DB Total: 18975 | Match: (EXACT MATCH)
[SUCCESS] CC: 5402 | Receivable: 18975 | DB Total: 18975 | Match: (EXACT MATCH)
[MISMATCH] CC: 5762 | Receivable: 18975 | DB Sum: 56925 | Diff: -37950
[SUCCESS] CC: 6379 | Receivable: 19975 | DB Total: 19975 | Match: (EXACT MATCH)
[SUCCESS] CC: 6400 | Receivable: 18975 | DB Total: 18975 | Match: (EXACT MATCH)
[SUCCESS] CC: 6422 | Receivable: 5993 | DB Total: 5993 | Match: (EXACT MATCH)
[MISMATCH] CC: 6507 | Receivable: 19975 | DB Sum: 39950 | Diff: -19975
[SUCCESS] CC: 6717 | Receivable: 18975 | DB Total: 18975 | Match: (EXACT MATCH)
[SUCCESS] CC: 7046 | Receivable: 17975 | DB Total: 17975 | Match: (EXACT MATCH)
[SUCCESS] CC: 7246 | Receivable: 18975 | DB Total: 18975 | Match: (EXACT MATCH)
[SUCCESS] CC: 7253 | Receivable: 20975 | DB Total: 20975 | Match: (EXACT MATCH)
[SUCCESS] CC: 7273 | Receivable: 19975 | DB Total: 19975 | Match: (EXACT MATCH)
[MISMATCH] CC: 7336 | Receivable: 0 | DB Sum: 59925 | Diff: -59925
[MISSING] CC: 7341 | Receivable: 22575 | Reason: No fees found for 2026-04-01 or earlier.
[MISSING] CC: 7365 | Receivable: 22575 | Reason: No fees found for 2026-04-01 or earlier.
[MISSING] CC: 7372 | Receivable: 18975 | Reason: No fees found for 2026-04-01 or earlier.
[MISSING] CC: 7376 | Receivable: 22575 | Reason: No fees found for 2026-04-01 or earlier.
[MISSING] CC: 7539 | Receivable: 19575 | Reason: No fees found for 2026-04-01 or earlier.
[MISSING] CC: 7570 | Receivable: 20575 | Reason: No fees found for 2026-04-01 or earlier.
[SUCCESS] CC: 7579 | Receivable: 20575 | DB Total: 20575 | Match: (EXACT MATCH)
[SUCCESS] CC: 7588 | Receivable: 20575 | DB Total: 20575 | Match: (EXACT MATCH)
[MISMATCH] CC: 7605 | Receivable: 20575 | DB Sum: 41150 | Diff: -20575
[SUCCESS] CC: 7630 | Receivable: 20575 | DB Total: 20575 | Match: (EXACT MATCH)
[SUCCESS] CC: 7635 | Receivable: 20575 | DB Total: 20575 | Match: (EXACT MATCH)
[SUCCESS] CC: 7657 | Receivable: 11788 | DB Total: 11788 | Match: (EXACT MATCH)
[SUCCESS] CC: 7656 | Receivable: 11788 | DB Total: 11788 | Match: (EXACT MATCH)
[MISMATCH] CC: 7664 | Receivable: 20575 | DB Sum: 41150 | Diff: -20575
[MISMATCH] CC: 7726 | Receivable: 22575 | DB Sum: 19975 | Diff: 2600
[SUCCESS] CC: 7728 | Receivable: 19975 | DB Total: 19975 | Match: (EXACT MATCH)
[SUCCESS] CC: 7740 | Receivable: 22575 | DB Total: 22575 | Match: (EXACT MATCH)
[MISMATCH] CC: 5697 | Receivable: 15975 | DB Sum: 16975 | Diff: -1000
[SUCCESS] CC: 5747 | Receivable: 16975 | DB Total: 16975 | Match: (EXACT MATCH)
[SUCCESS] CC: 6273 | Receivable: 17975 | DB Total: 17975 | Match: (EXACT MATCH)
[SUCCESS] CC: 6394 | Receivable: 15975 | DB Total: 15975 | Match: (EXACT MATCH)
[MISMATCH] CC: 6425 | Receivable: 16975 | DB Sum: 33950 | Diff: -16975
[SUCCESS] CC: 6784 | Receivable: 16975 | DB Total: 16975 | Match: (EXACT MATCH)
[SUCCESS] CC: 7448 | Receivable: 16975 | DB Total: 16975 | Match: (EXACT MATCH)
[SUCCESS] CC: 7565 | Receivable: 17575 | DB Total: 17575 | Match: (EXACT MATCH)
[SUCCESS] CC: 7602 | Receivable: 15575 | DB Total: 15575 | Match: (EXACT MATCH)
[SUCCESS] CC: 4577 | Receivable: 16975 | DB Total: 16975 | Match: (EXACT MATCH)
[SUCCESS] CC: 5079 | Receivable: 16975 | DB Total: 16975 | Match: (EXACT MATCH)
[SUCCESS] CC: 5205 | Receivable: 16975 | DB Total: 16975 | Match: (EXACT MATCH)
[SUCCESS] CC: 5344 | Receivable: 15975 | DB Total: 15975 | Match: (EXACT MATCH)
[SUCCESS] CC: 5345 | Receivable: 15975 | DB Total: 15975 | Match: (EXACT MATCH)
[SUCCESS] CC: 5450 | Receivable: 17575 | DB Total: 17575 | Match: (EXACT MATCH)
[SUCCESS] CC: 6141 | Receivable: 17975 | DB Total: 17975 | Match: (EXACT MATCH)
[MISMATCH] CC: 6451 | Receivable: 19975 | DB Sum: 39950 | Diff: -19975
[SUCCESS] CC: 7275 | Receivable: 14975 | DB Total: 14975 | Match: (EXACT MATCH)
[SUCCESS] CC: 7308 | Receivable: 17975 | DB Total: 17975 | Match: (EXACT MATCH)
[MISSING] CC: 7403 | Receivable: 16975 | Reason: No fees found for 2026-04-01 or earlier.
[SUCCESS] CC: 7634 | Receivable: 17575 | DB Total: 17575 | Match: (EXACT MATCH)
[SUCCESS] CC: 7727 | Receivable: 16975 | DB Total: 16975 | Match: (EXACT MATCH)
[MISSING] CC: 5059 | Receivable: 17975 | Reason: No fees found for 2026-04-01 or earlier.
[SUCCESS] CC: 6113 | Receivable: 16975 | DB Total: 16975 | Match: (EXACT MATCH)
[MISSING] CC: 6353 | Receivable: 14975 | Reason: No fees found for 2026-04-01 or earlier.
[SUCCESS] CC: 6423 | Receivable: 15975 | DB Total: 15975 | Match: (EXACT MATCH)
[SUCCESS] CC: 6503 | Receivable: 19975 | DB Total: 19975 | Match: (EXACT MATCH)
[SUCCESS] CC: 7244 | Receivable: 19975 | DB Total: 19975 | Match: (EXACT MATCH)
[SUCCESS] CC: 7255 | Receivable: 19975 | DB Total: 19975 | Match: (EXACT MATCH)
[SUCCESS] CC: 7265 | Receivable: 13975 | DB Total: 13975 | Match: (EXACT MATCH)
[SUCCESS] CC: 7524 | Receivable: 17975 | DB Total: 17975 | Match: (EXACT MATCH)
[SUCCESS] CC: 7574 | Receivable: 17575 | DB Total: 17575 | Match: (EXACT MATCH)
[SUCCESS] CC: 7593 | Receivable: 17575 | DB Total: 17575 | Match: (EXACT MATCH)
[SUCCESS] CC: 7650 | Receivable: 24469 | DB Total: 24469 | Match: (EXACT MATCH)
[SUCCESS] CC: 7680 | Receivable: 17575 | DB Total: 17575 | Match: (EXACT MATCH)
[SUCCESS] CC: 7736 | Receivable: 19575 | DB Total: 19575 | Match: (EXACT MATCH)
[SUCCESS] CC: 4554 | Receivable: 5092 | DB Total: 5092 | Match: (EXACT MATCH)
[SUCCESS] CC: 4575 | Receivable: 18975 | DB Total: 18975 | Match: (EXACT MATCH)
[SUCCESS] CC: 4585 | Receivable: 16975 | DB Total: 16975 | Match: (EXACT MATCH)
[SUCCESS] CC: 4587 | Receivable: 15975 | DB Total: 15975 | Match: (EXACT MATCH)
[SUCCESS] CC: 4708 | Receivable: 13975 | DB Total: 13975 | Match: (EXACT MATCH)
[SUCCESS] CC: 4848 | Receivable: 15975 | DB Total: 15975 | Match: (EXACT MATCH)
[SUCCESS] CC: 4914 | Receivable: 16975 | DB Total: 16975 | Match: (EXACT MATCH)
[SUCCESS] CC: 5116 | Receivable: 16975 | DB Total: 16975 | Match: (EXACT MATCH)
[MISMATCH] CC: 5543 | Receivable: 15975 | DB Sum: 31950 | Diff: -15975
[SUCCESS] CC: 6744 | Receivable: 18975 | DB Total: 18975 | Match: (EXACT MATCH)
[SUCCESS] CC: 7180 | Receivable: 18975 | DB Total: 18975 | Match: (EXACT MATCH)
[MISMATCH] CC: 7294 | Receivable: 17975 | DB Sum: 18975 | Diff: -1000
[SUCCESS] CC: 7325 | Receivable: 18975 | DB Total: 18975 | Match: (EXACT MATCH)
[MISMATCH] CC: 7339 | Receivable: 15000 | DB Sum: 30000 | Diff: -15000
[SUCCESS] CC: 7735 | Receivable: 20575 | DB Total: 20575 | Match: (EXACT MATCH)
[SUCCESS] CC: 7741 | Receivable: 18575 | DB Total: 18575 | Match: (EXACT MATCH)
[SUCCESS] CC: 4471 | Receivable: 15975 | DB Total: 15975 | Match: (EXACT MATCH)
[SUCCESS] CC: 4533 | Receivable: 16975 | DB Total: 16975 | Match: (EXACT MATCH)
[SUCCESS] CC: 4574 | Receivable: 16975 | DB Total: 16975 | Match: (EXACT MATCH)
[SUCCESS] CC: 4588 | Receivable: 15975 | DB Total: 15975 | Match: (EXACT MATCH)
[SUCCESS] CC: 4613 | Receivable: 16975 | DB Total: 16975 | Match: (EXACT MATCH)
[SUCCESS] CC: 4837 | Receivable: 15106 | DB Total: 15106 | Match: (EXACT MATCH)
[SUCCESS] CC: 4961 | Receivable: 15975 | DB Total: 15975 | Match: (EXACT MATCH)
[SUCCESS] CC: 4997 | Receivable: 13832 | DB Total: 13832 | Match: (EXACT MATCH)
[SUCCESS] CC: 5051 | Receivable: 16975 | DB Total: 16975 | Match: (EXACT MATCH)
[SUCCESS] CC: 5115 | Receivable: 16975 | DB Total: 16975 | Match: (EXACT MATCH)
[MISSING] CC: 5149 | Receivable: 17975 | Reason: No fees found for 2026-04-01 or earlier.
[MISMATCH] CC: 5189 | Receivable: 15975 | DB Sum: 47925 | Diff: -31950
[SUCCESS] CC: 5363 | Receivable: 17975 | DB Total: 17975 | Match: (EXACT MATCH)
[SUCCESS] CC: 5801 | Receivable: 16975 | DB Total: 16975 | Match: (EXACT MATCH)
[SUCCESS] CC: 6258 | Receivable: 17975 | DB Total: 17975 | Match: (EXACT MATCH)
[MISMATCH] CC: 6641 | Receivable: 17975 | DB Sum: 35950 | Diff: -17975
[SUCCESS] CC: 4561 | Receivable: 16975 | DB Total: 16975 | Match: (EXACT MATCH)
[SUCCESS] CC: 4608 | Receivable: 18975 | DB Total: 18975 | Match: (EXACT MATCH)
[MISMATCH] CC: 4607 | Receivable: 18975 | DB Sum: 37950 | Diff: -18975
[SUCCESS] CC: 4971 | Receivable: 16975 | DB Total: 16975 | Match: (EXACT MATCH)
[SUCCESS] CC: 5119 | Receivable: 16975 | DB Total: 16975 | Match: (EXACT MATCH)
[SUCCESS] CC: 5846 | Receivable: 16975 | DB Total: 16975 | Match: (EXACT MATCH)
[MISSING] CC: 6355 | Receivable: 16975 | Reason: No fees found for 2026-04-01 or earlier.
[SUCCESS] CC: 5724 | Receivable: 15075 | DB Total: 15075 | Match: (EXACT MATCH)
[SUCCESS] CC: 7104 | Receivable: 13975 | DB Total: 13975 | Match: (EXACT MATCH)
[SUCCESS] CC: 7284 | Receivable: 16975 | DB Total: 16975 | Match: (EXACT MATCH)
[MISSING] CC: 7564 | Receivable: 18575 | Reason: No fees found for 2026-04-01 or earlier.
[SUCCESS] CC: 7648 | Receivable: 18575 | DB Total: 18575 | Match: (EXACT MATCH)
[SUCCESS] CC: 7704 | Receivable: 15575 | DB Total: 15575 | Match: (EXACT MATCH)
[SUCCESS] CC: 7718 | Receivable: 20575 | DB Total: 20575 | Match: (EXACT MATCH)
[SUCCESS] CC: 4444 | Receivable: 18975 | DB Total: 18975 | Match: (EXACT MATCH)
[SUCCESS] CC: 4534 | Receivable: 17975 | DB Total: 17975 | Match: (EXACT MATCH)
[SUCCESS] CC: 4578 | Receivable: 17975 | DB Total: 17975 | Match: (EXACT MATCH)
[MISMATCH] CC: 4612 | Receivable: 17975 | DB Sum: 35950 | Diff: -17975
[SUCCESS] CC: 4735 | Receivable: 17975 | DB Total: 17975 | Match: (EXACT MATCH)
[SUCCESS] CC: 4770 | Receivable: 17975 | DB Total: 17975 | Match: (EXACT MATCH)
[SUCCESS] CC: 4962 | Receivable: 17975 | DB Total: 17975 | Match: (EXACT MATCH)
[SUCCESS] CC: 5304 | Receivable: 17975 | DB Total: 17975 | Match: (EXACT MATCH)
[MISSING] CC: 5333 | Receivable: 17975 | Reason: No fees found for 2026-04-01 or earlier.
[SUCCESS] CC: 5416 | Receivable: 17975 | DB Total: 17975 | Match: (EXACT MATCH)
[SUCCESS] CC: 5752 | Receivable: 22975 | DB Total: 22975 | Match: (EXACT MATCH)
[MISMATCH] CC: 5782 | Receivable: 17975 | DB Sum: 35950 | Diff: -17975
[MISSING] CC: 5937 | Receivable: 0 | Reason: No fees found for 2026-04-01 or earlier.
[SUCCESS] CC: 6278 | Receivable: 17975 | DB Total: 17975 | Match: (EXACT MATCH)
[SUCCESS] CC: 6587 | Receivable: 18975 | DB Total: 18975 | Match: (EXACT MATCH)
[SUCCESS] CC: 6705 | Receivable: 18975 | DB Total: 18975 | Match: (EXACT MATCH)
[SUCCESS] CC: 6711 | Receivable: 19975 | DB Total: 19975 | Match: (EXACT MATCH)
[MISSING] CC: 7125 | Receivable: 18575 | Reason: No fees found for 2026-04-01 or earlier.
[SUCCESS] CC: 7238 | Receivable: 20975 | DB Total: 20975 | Match: (EXACT MATCH)
[SUCCESS] CC: 7242 | Receivable: 18975 | DB Total: 18975 | Match: (EXACT MATCH)
[SUCCESS] CC: 7256 | Receivable: 21975 | DB Total: 21975 | Match: (EXACT MATCH)
[MISMATCH] CC: 7338 | Receivable: 15000 | DB Sum: 30000 | Diff: -15000
[MISMATCH] CC: 7509 | Receivable: 18975 | DB Sum: 56925 | Diff: -37950
[SUCCESS] CC: 7587 | Receivable: 19575 | DB Total: 19575 | Match: (EXACT MATCH)
[SUCCESS] CC: 7601 | Receivable: 19575 | DB Total: 19575 | Match: (EXACT MATCH)
[SUCCESS] CC: 7674 | Receivable: 19575 | DB Total: 19575 | Match: (EXACT MATCH)
[SUCCESS] CC: 7679 | Receivable: 19575 | DB Total: 19575 | Match: (EXACT MATCH)
[SUCCESS] CC: 4289 | Receivable: 17975 | DB Total: 17975 | Match: (EXACT MATCH)
[SUCCESS] CC: 4296 | Receivable: 15975 | DB Total: 15975 | Match: (EXACT MATCH)
[SUCCESS] CC: 4728 | Receivable: 16975 | DB Total: 16975 | Match: (EXACT MATCH)
[SUCCESS] CC: 4768 | Receivable: 17975 | DB Total: 17975 | Match: (EXACT MATCH)
[SUCCESS] CC: 4785 | Receivable: 17975 | DB Total: 17975 | Match: (EXACT MATCH)
[SUCCESS] CC: 4870 | Receivable: 5392 | DB Total: 5392 | Match: (EXACT MATCH)
[SUCCESS] CC: 5347 | Receivable: 19975 | DB Total: 19975 | Match: (EXACT MATCH)
[SUCCESS] CC: 6647 | Receivable: 18975 | DB Total: 18975 | Match: (EXACT MATCH)
[SUCCESS] CC: 6963 | Receivable: 18975 | DB Total: 18975 | Match: (EXACT MATCH)
[MISMATCH] CC: 7029 | Receivable: 18975 | DB Sum: 56925 | Diff: -37950
[SUCCESS] CC: 7555 | Receivable: 15975 | DB Total: 15975 | Match: (EXACT MATCH)
[SUCCESS] CC: 7625 | Receivable: 19575 | DB Total: 19575 | Match: (EXACT MATCH)
[SUCCESS] CC: 7627 | Receivable: 17575 | DB Total: 17575 | Match: (EXACT MATCH)
