[MISMATCH] CC: 7584 | Receivable: 9550 | DB Sum: 19100 | Diff: -9550
[MISMATCH] CC: 7509 | Receivable: 18975 | DB Sum: 56925 | Diff: -37950
[MISMATCH] CC: 7029 | Receivable: 18975 | DB Sum: 56925 | Diff: -37950
[MISMATCH] CC: 6781 | Receivable: 0 | DB Sum: 20975 | Diff: -20975
[MISMATCH] CC: 7732 | Receivable: 17975 | DB Sum: 35950 | Diff: -17975
[MISMATCH] CC: 7669 | Receivable: 16575 | DB Sum: 33150 | Diff: -16575
[MISMATCH] CC: 7201 | Receivable: 16975 | DB Sum: 67900 | Diff: -50925
[MISMATCH] CC: 7682 | Receivable: 16575 | DB Sum: 33150 | Diff: -16575
[MISMATCH] CC: 7387 | Receivable: 0 | DB Sum: 31950 | Diff: -31950
[MISMATCH] CC: 7406 | Receivable: 17975 | DB Sum: 53925 | Diff: -35950
[MISMATCH] CC: 6749 | Receivable: 15975 | DB Sum: 31950 | Diff: -15975
[MISMATCH] CC: 6908 | Receivable: 17975 | DB Sum: 35950 | Diff: -17975
[MISMATCH] CC: 7090 | Receivable: 14975 | DB Sum: 29950 | Diff: -14975
[MISMATCH] CC: 6924 | Receivable: 17975 | DB Sum: 35950 | Diff: -17975
[MISMATCH] CC: 7124 | Receivable: 15975 | DB Sum: 43925 | Diff: -27950
[MISMATCH] CC: 6601 | Receivable: 13675 | DB Sum: 13575 | Diff: 100
[MISMATCH] CC: 6432 | Receivable: 15975 | DB Sum: 31950 | Diff: -15975
[MISMATCH] CC: 6679 | Receivable: 15975 | DB Sum: 31950 | Diff: -15975
[MISMATCH] CC: 7028 | Receivable: 15975 | DB Sum: 47925 | Diff: -31950
[MISMATCH] CC: 6767 | Receivable: -79875 | DB Sum: 15975 | Diff: -95850
[MISMATCH] CC: 5874 | Receivable: 16975 | DB Sum: 33950 | Diff: -16975
[MISMATCH] CC: 5981 | Receivable: 16975 | DB Sum: 33950 | Diff: -16975
[MISMATCH] CC: 7672 | Receivable: 16575 | DB Sum: 33150 | Diff: -16575
[MISMATCH] CC: 5783 | Receivable: 15975 | DB Sum: 31950 | Diff: -15975
[MISMATCH] CC: 6460 | Receivable: 16975 | DB Sum: 50925 | Diff: -33950
[MISMATCH] CC: 5813 | Receivable: 17975 | DB Sum: 35950 | Diff: -17975
[MISMATCH] CC: 5927 | Receivable: 16975 | DB Sum: 33950 | Diff: -16975
[MISMATCH] CC: 7755 | Receivable: 18575 | DB Sum: 37150 | Diff: -18575
[MISMATCH] CC: 5591 | Receivable: 14975 | DB Sum: 29950 | Diff: -14975
[MISMATCH] CC: 6452 | Receivable: 14975 | DB Sum: 29950 | Diff: -14975
[MISMATCH] CC: 6831 | Receivable: 16975 | DB Sum: 33950 | Diff: -16975
[MISMATCH] CC: 7123 | Receivable: 15975 | DB Sum: 31950 | Diff: -15975
[MISMATCH] CC: 6288 | Receivable: 14975 | DB Sum: 29950 | Diff: -14975
[MISMATCH] CC: 6540 | Receivable: 16975 | DB Sum: 33950 | Diff: -16975
[MISMATCH] CC: 3851 | Receivable: 39950 | DB Sum: 19975 | Diff: 19975
[MISMATCH] CC: 4053 | Receivable: 37950 | DB Sum: 18975 | Diff: 18975
[MISMATCH] CC: 4334 | Receivable: 30420 | DB Sum: 15210 | Diff: 15210
[MISMATCH] CC: 4390 | Receivable: 18975 | DB Sum: 75900 | Diff: -56925
[MISMATCH] CC: 4445 | Receivable: 39950 | DB Sum: 19975 | Diff: 19975
[MISMATCH] CC: 5227 | Receivable: 37950 | DB Sum: 18975 | Diff: 18975
[MISMATCH] CC: 6617 | Receivable: 41950 | DB Sum: 20975 | Diff: 20975
[MISMATCH] CC: 7220 | Receivable: 41950 | DB Sum: 20975 | Diff: 20975
[MISMATCH] CC: 7276 | Receivable: 39950 | DB Sum: 19975 | Diff: 19975
[MISMATCH] CC: 7639 | Receivable: 43150 | DB Sum: 21575 | Diff: 21575
[MISMATCH] CC: 7692 | Receivable: 39150 | DB Sum: 19575 | Diff: 19575
[MISMATCH] CC: 3475 | Receivable: 39950 | DB Sum: 19975 | Diff: 19975
[MISMATCH] CC: 4411 | Receivable: 37950 | DB Sum: 18975 | Diff: 18975
[MISMATCH] CC: 4660 | Receivable: 37950 | DB Sum: 18975 | Diff: 18975
[MISMATCH] CC: 6437 | Receivable: 24575 | DB Sum: 49150 | Diff: -24575
[MISMATCH] CC: 7057 | Receivable: 43950 | DB Sum: 21975 | Diff: 21975
[MISMATCH] CC: 7286 | Receivable: 41950 | DB Sum: 20975 | Diff: 20975
[MISMATCH] CC: 7583 | Receivable: 10575 | DB Sum: 19575 | Diff: -9000
[MISMATCH] CC: 7529 | Receivable: 40000 | DB Sum: 15000 | Diff: 25000
[MISMATCH] CC: 6287 | Receivable: 14975 | DB Sum: 29950 | Diff: -14975
[MISMATCH] CC: 7556 | Receivable: 16175 | DB Sum: 16575 | Diff: -400
[MISMATCH] CC: 5542 | Receivable: 16975 | DB Sum: 33950 | Diff: -16975
[MISMATCH] CC: 7800 | Receivable: 13975 | DB Sum: 41925 | Diff: -27950
[MISMATCH] CC: 5078 | Receivable: 14975 | DB Sum: 29950 | Diff: -14975
[MISMATCH] CC: 4846 | Receivable: 0 | DB Sum: 71911 | Diff: -71911
[MISMATCH] CC: 7789 | Receivable: 18975 | DB Sum: 56925 | Diff: -37950
[MISMATCH] CC: 7768 | Receivable: 20575 | DB Sum: 60525 | Diff: -39950
[MISMATCH] CC: 5346 | Receivable: 28292 | DB Sum: 56584 | Diff: -28292
[MISMATCH] CC: 7830 | Receivable: 18575 | DB Sum: 37150 | Diff: -18575
[MISMATCH] CC: 7829 | Receivable: 18575 | DB Sum: 37150 | Diff: -18575
[MISMATCH] CC: 7835 | Receivable: 33571 | DB Sum: 3571 | Diff: 30000
[MISMATCH] CC: 7842 | Receivable: 19095 | DB Sum: 32670 | Diff: -13575
[MISMATCH] CC: 7874 | Receivable: 0 | DB Sum: 19975 | Diff: -19975
[MISMATCH] CC: 7608 | Receivable: 10575 | DB Sum: 21150 | Diff: -10575
[MISMATCH] CC: 7821 | Receivable: 14575 | DB Sum: 29150 | Diff: -14575
[MISMATCH] CC: 7876 | Receivable: 0 | DB Sum: 14975 | Diff: -14975
[MISMATCH] CC: 7877 | Receivable: 0 | DB Sum: 14975 | Diff: -14975
[MISMATCH] CC: 7887 | Receivable: 24962 | DB Sum: 49924 | Diff: -24962
[MISMATCH] CC: 7891 | Receivable: 54925 | DB Sum: 14975 | Diff: 39950
[MISMATCH] CC: 7608 | Receivable: 10575 | DB Sum: 21150 | Diff: -10575
[MISMATCH] CC: 7821 | Receivable: 14575 | DB Sum: 29150 | Diff: -14575
[MISMATCH] CC: 7876 | Receivable: 0 | DB Sum: 14975 | Diff: -14975
[MISMATCH] CC: 7877 | Receivable: 0 | DB Sum: 14975 | Diff: -14975
[MISMATCH] CC: 7887 | Receivable: 24962 | DB Sum: 49924 | Diff: -24962
[MISMATCH] CC: 7891 | Receivable: 54925 | DB Sum: 14975 | Diff: 39950
